Protein_ID	Accession	ID	Seq_length	Evalue	Bitscore	Tot_aln_span	Identity	Taxid	Organism_name	Description
XP_017731706.1	XP_017731706	ref|XP_017731706.1|	165	3.11103e-108	311.997	166	100.0	61621	Rhinopithecus bieti	PREDICTED: LOW QUALITY PROTEIN: interferon gamma [Rhinopithecus bieti]
XP_003259820.1	XP_003259820	ref|XP_003259820.1|	166	6.58324e-119	338.961	166	100.0	61853	Nomascus leucogenys	interferon gamma [Nomascus leucogenys]
AAF21302.1	AAF21302	gb|AAF21302.1|	142	4.22673e-92	270.396	142	100.0	43147	Aotus lemurinus	interferon gamma, partial [Aotus lemurinus]
Q8MKF5.1	Q8MKF5	sp|Q8MKF5.1|	166	1.01449e-110	318.546	166	100.0	9521	Saimiri sciureus	RecName: Full=Interferon gamma; Short=IFN-gamma; Flags: Precursor
XP_012300391.1	XP_012300391	ref|XP_012300391.1|	166	1.00964e-106	308.145	166	100.0	37293	Aotus nancymaae	interferon gamma [Aotus nancymaae]
XP_025738869.1	XP_025738869	ref|XP_025738869.1|	166	8.01282e-77	232.646	166	100.0	34884	Callorhinus ursinus	interferon gamma [Callorhinus ursinus]
XP_004416484.1	XP_004416484	ref|XP_004416484.1|	166	2.61594e-76	231.491	166	100.0	9708	Odobenus rosmarus divergens	PREDICTED: interferon gamma [Odobenus rosmarus divergens]
XP_032276605.1	XP_032276605	ref|XP_032276605.1|	166	5.44991e-76	230.72	166	100.0	9720	Phoca vitulina	interferon gamma [Phoca vitulina]
XP_033077246.1	XP_033077246	ref|XP_033077246.1|	165	1.40238e-112	323.168	166	100.0	54180	Trachypithecus francoisi	interferon gamma [Trachypithecus francoisi]
NP_001106110.1	NP_001106110	ref|NP_001106110.1|	165	1.64375e-109	315.464	166	100.0	9555	Papio anubis	interferon gamma precursor [Papio anubis]
NP_001028077.1	NP_001028077	ref|NP_001028077.1|	165	4.59537e-111	319.316	166	100.0	9544	Macaca mulatta	interferon gamma precursor [Macaca mulatta]
XP_035974537.1	XP_035974537	ref|XP_035974537.1|	166	4.83121e-76	230.72	166	100.0	9711	Halichoerus grypus	interferon gamma [Halichoerus grypus]
