Protein_ID	Accession	ID	Seq_length	Evalue	Bitscore	Tot_aln_span	Identity	Taxid	Organism_name	Description
XP_003281399.1	XP_003281399	ref|XP_003281399.1|	110	2.89983e-73	219.164	110	100.0	61853	Nomascus leucogenys	insulin isoform X2 [Nomascus leucogenys]
XP_032124369.1	XP_032124369	ref|XP_032124369.1|	108	1.58305e-54	171.785	110	100.0	9515	Sapajus apella	insulin [Sapajus apella]
XP_029770545.1	XP_029770545	ref|XP_029770545.1|	110	2.17542e-50	161.384	110	100.0	37032	Suricata suricatta	insulin [Suricata suricatta]
ABB89752.1	ABB89752	gb|ABB89752.1|	110	4.71666e-56	175.637	110	100.0	100899	Microtus kikuchii	preproinsulin [Microtus kikuchii]
XP_039081000.1	XP_039081000	ref|XP_039081000.1|	110	1.22853e-52	167.162	110	100.0	95912	Hyaena hyaena	insulin [Hyaena hyaena]
XP_025211013.1	XP_025211013	ref|XP_025211013.1|	110	1.26611e-71	214.927	110	100.0	9565	Theropithecus gelada	insulin isoform X4 [Theropithecus gelada]
XP_012968060.1	XP_012968060	ref|XP_012968060.1|	110	9.11982e-55	172.555	110	100.0	10036	Mesocricetus auratus	insulin [Mesocricetus auratus]
NP_000198.1	NP_000198	ref|NP_000198.1|	110	4.00741e-75	223.787	110	100.0	9606	Homo sapiens	insulin preproprotein [Homo sapiens]
ACC68945.1	ACC68945	gb|ACC68945.1|	110	4.63439e-51	163.31	110	100.0	59479	Rhinolophus ferrumequinum	proinsulin precursor (predicted) [Rhinolophus ferrumequinum]
XP_024110665.1	XP_024110665	ref|XP_024110665.1|	110	1.90514e-74	222.246	110	100.0	9601	Pongo abelii	insulin isoform X2 [Pongo abelii]
ABB89749.1	ABB89749	gb|ABB89749.1|	110	1.90998e-59	184.496	110	100.0	10089	Mus caroli	preproinsulin 2 [Mus caroli]
XP_011785466.1	XP_011785466	ref|XP_011785466.1|	98	5.51297e-53	167.548	110	100.0	336983	Colobus angolensis palliatus	PREDICTED: insulin isoform X3 [Colobus angolensis palliatus]
XP_005351628.2	XP_005351628	ref|XP_005351628.2|	110	2.14346e-55	174.096	110	100.0	79684	Microtus ochrogaster	insulin [Microtus ochrogaster]
XP_003909425.2	XP_003909425	ref|XP_003909425.2|	110	1.00262e-72	218.009	110	100.0	9555	Papio anubis	insulin isoform X2 [Papio anubis]
ABB89746.1	ABB89746	gb|ABB89746.1|	110	5.04854e-54	170.629	110	100.0	357352	Niviventer coninga	preproinsulin 1 [Niviventer coninga]
XP_032269837.1	XP_032269837	ref|XP_032269837.1|	110	4.89561e-51	162.925	110	100.0	9720	Phoca vitulina	insulin [Phoca vitulina]
XP_032748073.1	XP_032748073	ref|XP_032748073.1|	110	3.15865e-60	186.422	110	100.0	10117	Rattus rattus	insulin-1 [Rattus rattus]
ABB89748.1	ABB89748	gb|ABB89748.1|	110	1.47615e-55	174.481	110	100.0	105299	Apodemus semotus	preproinsulin 2 [Apodemus semotus]
XP_019522928.1	XP_019522928	ref|XP_019522928.1|	110	2.45176e-52	166.392	110	100.0	186990	Hipposideros armiger	PREDICTED: insulin [Hipposideros armiger]
XP_003508128.1	XP_003508128	ref|XP_003508128.1|	110	7.00089e-56	175.252	110	100.0	10029	Cricetulus griseus	insulin [Cricetulus griseus]
XP_021540854.1	XP_021540854	ref|XP_021540854.1|	110	1.8658e-50	161.77	110	100.0	29088	Neomonachus schauinslandi	insulin [Neomonachus schauinslandi]
XP_035119627.1	XP_035119627	ref|XP_035119627.1|	108	4.34748e-53	168.318	110	100.0	9483	Callithrix jacchus	insulin [Callithrix jacchus]
XP_031240877.1	XP_031240877	ref|XP_031240877.1|	110	1.59397e-55	174.481	110	100.0	35658	Mastomys coucha	insulin-1 [Mastomys coucha]
XP_023039285.1	XP_023039285	ref|XP_023039285.1|	110	3.42864e-72	216.468	110	100.0	591936	Piliocolobus tephrosceles	insulin isoform X1 [Piliocolobus tephrosceles]
XP_036716824.1	XP_036716824	ref|XP_036716824.1|	110	6.36177e-53	167.933	110	100.0	9771	Balaenoptera musculus	insulin [Balaenoptera musculus]
XP_004403859.1	XP_004403859	ref|XP_004403859.1|	110	5.64578e-51	162.925	110	100.0	9708	Odobenus rosmarus divergens	PREDICTED: insulin [Odobenus rosmarus divergens]
XP_018891846.1	XP_018891846	ref|XP_018891846.1|	98	4.63104e-63	192.971	110	100.0	9595	Gorilla gorilla gorilla	insulin isoform X2 [Gorilla gorilla gorilla]
XP_008837426.1	XP_008837426	ref|XP_008837426.1|	110	2.15842e-58	181.8	110	100.0	1026970	Nannospalax galili	insulin isoform X1 [Nannospalax galili]
XP_022363428.1	XP_022363428	ref|XP_022363428.1|	109	9.26408e-51	162.155	110	100.0	391180	Enhydra lutris kenyoni	insulin [Enhydra lutris kenyoni]
XP_041578098.1	XP_041578098	ref|XP_041578098.1|	110	2.42316e-53	169.088	110	100.0	494514	Vulpes lagopus	insulin [Vulpes lagopus]
XP_020024407.1	XP_020024407	ref|XP_020024407.1|	110	2.79832e-51	163.696	110	100.0	51338	Castor canadensis	insulin [Castor canadensis]
XP_034868296.1	XP_034868296	ref|XP_034868296.1|	110	7.59138e-51	162.54	110	100.0	9715	Mirounga leonina	insulin [Mirounga leonina]
XP_021490460.1	XP_021490460	ref|XP_021490460.1|	110	5.8916e-53	167.933	110	100.0	10047	Meriones unguiculatus	insulin isoform X2 [Meriones unguiculatus]
XP_003798420.1	XP_003798420	ref|XP_003798420.1|	110	2.21754e-54	171.4	110	100.0	30611	Otolemur garnettii	insulin isoform X1 [Otolemur garnettii]
NP_001172012.1	NP_001172012	ref|NP_001172012.1|	110	1.24107e-53	169.474	110	100.0	10090	Mus musculus	insulin-2 preproprotein [Mus musculus]
XP_010329449.1	XP_010329449	ref|XP_010329449.1|	108	3.65083e-52	166.007	110	100.0	39432	Saimiri boliviensis boliviensis	insulin [Saimiri boliviensis boliviensis]
NP_062003.1	NP_062003	ref|NP_062003.1|	110	8.63308e-55	172.555	110	100.0	10116	Rattus norvegicus	insulin-2 preproprotein [Rattus norvegicus]
XP_040322184.1	XP_040322184	ref|XP_040322184.1|	110	1.18876e-52	167.162	110	100.0	1608482	Puma yagouaroundi	insulin [Puma yagouaroundi]
XP_034379025.1	XP_034379025	ref|XP_034379025.1|	110	3.25544e-54	171.014	110	100.0	61156	Arvicanthis niloticus	insulin-2 [Arvicanthis niloticus]
XP_006141129.1	XP_006141129	ref|XP_006141129.1|	110	4.43056e-61	188.348	110	100.0	246437	Tupaia chinensis	insulin [Tupaia chinensis]
XP_038173309.1	XP_038173309	ref|XP_038173309.1|	110	4.71666e-56	175.637	110	100.0	1047088	Arvicola amphibius	insulin [Arvicola amphibius]
XP_042815670.1	XP_042815670	ref|XP_042815670.1|	110	2.98464e-53	168.703	110	100.0	9694	Panthera tigris	insulin [Panthera tigris]
Q62587.1	Q62587	sp|Q62587.1|	110	5.0014e-52	165.622	110	100.0	48139	Psammomys obesus	RecName: Full=Insulin; Contains: RecName: Full=Insulin B chain; Contains: RecName: Full=Insulin A chain; Flags: Precursor
ABB89743.1	ABB89743	gb|ABB89743.1|	110	1.27266e-59	184.882	110	100.0	69075	Rattus losea	preproinsulin 1 [Rattus losea]
NP_001008996.1	NP_001008996	ref|NP_001008996.1|	110	2.85985e-74	221.861	110	100.0	9598	Pan troglodytes	insulin preproprotein [Pan troglodytes]
P67972.1	P67972	sp|P67972.1|	108	2.42829e-54	171.4	110	100.0	9505	Aotus trivirgatus	RecName: Full=Insulin; Contains: RecName: Full=Insulin B chain; Contains: RecName: Full=Insulin A chain; Flags: Precursor
NP_001009272.1	NP_001009272	ref|NP_001009272.1|	110	2.79832e-51	163.696	110	100.0	9685	Felis catus	insulin precursor [Felis catus]
QIH29510.1	QIH29510	gb|QIH29510.1|	110	2.3724e-52	166.392	110	100.0	27615	Kogia breviceps	preproinsulin [Kogia breviceps]
XP_019292555.1	XP_019292555	ref|XP_019292555.1|	110	1.18876e-52	167.162	110	100.0	9691	Panthera pardus	PREDICTED: insulin [Panthera pardus]
NP_001123565.1	NP_001123565	ref|NP_001123565.1|	110	8.27061e-54	170.244	110	100.0	9615	Canis lupus familiaris	insulin precursor [Canis lupus familiaris]
NP_001353985.1	NP_001353985	ref|NP_001353985.1|	110	4.93396e-55	173.326	110	100.0	9986	Oryctolagus cuniculus	insulin precursor [Oryctolagus cuniculus]
XP_006911039.1	XP_006911039	ref|XP_006911039.1|	110	7.57578e-54	170.244	110	100.0	9402	Pteropus alecto	insulin [Pteropus alecto]
